UID,ETAG,LINE,RMK,IDX,PD,TRTPEN,CUWT,BPEN,BRAND,PREGTEST,W1018,W1207,IDZ65,CLR,STM,DIETPEN
11EW00654,Z0673,,.,0,1,,79,brt,,Preg,,81,0,1,33,
11EW00655,Z0674,,SCOURS,0,1,,84,brt,,Preg,,89,0,1,33,
11EW00656,Z0676,,HAIRY,0,1,,73,e18,,Preg,,85,0,1,R3,
11EW00657,R8952,,.,0,1,,98,e20,,Open,,109,0,1,07,
11EW00658,H7315,,BROWNEAR,0,3,,97,e20,,Preg,,112,0,2,30,
11EW00659,Z0678,,HAIRY,0,1,,74,e17,,Preg,,91,0,1,R3,
11EW00660,R8962,,.,0,1,,84,e19,,Preg,,88,0,1,07,
11EW00661,L0542,,.,0,1,,109,e13,,Open,,113,0,4,PC,
11EW00662,Z0683,,HAIRY.SCOURS,0,1,,76,e18,,Preg,,83,0,1,R3,
11EW00663,Z0685,,HAIRY,0,1,,76,e20,,Preg,,84,0,1,R3,
11EW00664,Z0686,,HAIRY,0,1,,71,e19,,Preg,,70,0,1,R3,
11EW00665,Z0687,,HAIRY,0,1,,84,e17,,Preg,,91,0,1,R3,
11EW00666,H7331,,PINK.SCOURS,0,1,,88,e20,,Preg,,98,0,1,30,
11EW00667,H7335,,4TEATS.TMS414,0,1,,93,e9,,Open,,112,0,1,30,
11EW00668,R8961,,SCOURS,0,1,,72,e12,,Open,,81,0,1,07,
11EW00669,R8980,,.,0,1,,96,e18,,Open,,109,0,1,07,
11EW00670,R8982,,4TEATS,0,1,,68,e18,,Open,,84,0,1,07,
11EW00671,Z0700,,PINK.HAIRYSCO,0,1,,68,e18,,Open,,89,0,1,R3,
11EW00672,R8987,,3T,0,3,,78,e12,,Open,,81,0,1,07,
11EW00673,R8993,,SCOURS,0,1,,81,e11,,Open,,94,0,1,07,
11EW00674,R8994,,SCOURS,0,1,,92,e11,,,,0,0,1,07,
11EW00675,H7339,,BRITCHY,0,1,,87,e20,,Preg,,100,0,1,30,
11EW00676,R9002,,HAIRY,0,1,,88,e20,,,,0,0,1,07,
11EW00677,H7341,,3T,0,1,,70,e20,,Open,,85,0,1,30,
11EW00678,H7346,,E.L.EYE SCOUR,0,1,,113,e10,,Preg,,116,0,1,30,
11EW00679,Z0704,,4T.FRECK.LIPS,0,1,,89,brt,,Preg,,93,0,2,33,
11EW00680,Z0705,,E.L.EYE SCOUR,0,1,,102,brt,,Preg,,106,0,1,33,
11EW00681,Z0707,,PINKNOTR3,0,3,,74,e17,,Preg,,84,0,1,R3,
11EW00682,R9005,,4T.PINK,0,3,,106,e11,,Preg,,115,0,1,07,
11EW00683,R9008,,.,0,3,,95,e12,,Open,,98,0,1,07,
11EW00684,R9017,,4TEATS,0,1,,94,e17,,Open,,98,0,1,07,
11EW00685,Z0712,,4T.HAIRY,0,1,,81,brt,,Preg,,86,0,1,33,
11EW00686,R9021,,.,0,1,,84,e11,,,,0,0,1,07,
11EW00687,R9026,,4TEATS,0,3,,76,e20,,Open,,82,0,1,07,
11EW00688,R9030,,.,0,1,,87,e18,,Open,,95,0,1,07,
11EW00689,R9031,,4TEATS,0,1,,78,e20,,Open,,90,0,1,07,
11EW00690,R9033,,BRETPSBRTCHSC,0,3,,96,e17,,Preg,,111,0,2,07,
11EW00691,Z0728,,PINKVRYH SCOU,0,1,,59,e17,,Open,,61,0,1,R3,
11EW00692,Z0732,,4TVERYHAIRY,0,1,,74,e18,,Open,,83,0,1,R3,
11EW00693,H7366,,SCOURS,0,1,,87,e19,,Open,,88,0,1,30,
11EW00694,R9037,,.,0,1,,88,e17,,Preg,,99,0,1,07,
11EW00695,R9045,,.,0,1,,91,e11,,,,0,0,1,07,
11EW00696,Z0740,,3RD.4T.VRYHAI,0,3,,70,e17,,Open,,82,0,1,R3,
11EW00697,Z0743,,PINK.VHAIRYSC,0,1,,90,e18,,,,0,0,1,R3,
11EW00698,R9053,,2ND.3T,0,1,,79,e19,,Open,,84,0,1,07,
11EW00699,Z0749,,NICE LAMB,0,1,,98,e4,,Preg,,105,0,6,97,
11EW00700,R9055,,SLHAIRYNICETR,0,3,,75,e12,,Open,,79,0,1,07,
11EW00701,R9056,,SLHAIRYNICETR,0,3,,72,e18,,Open,,77,0,1,07,
11EW00702,R9057,,BRITCHYNICETR,0,3,,71,e20,,Open,,85,0,1,07,
11EW00703,Z0751,,4T.NICE.SCOUR,0,1,,100,e6,,Open,,110,0,1,CM,
11EW00704,Z0754,,4TFRECKLIPSHA,0,1,,65,e17,,Preg,,87,0,1,R3,
11EW00705,R9060,,PINKVERYHAIRY,0,3,,81,e19,,Open,,76,0,1,07,
11EW00706,R9061,,HAIRY,0,3,,70,e17,,Open,,80,0,1,07,
11EW00707,R9063,,.,0,3,,76,e19,,Open,,77,0,1,07,
11EW00708,R9066,,FUZZY,0,3,,102,e12,,Preg,,116,0,1,07,
11EW00709,R9067,,4TEATS,0,1,,77,e20,,,,0,0,1,07,
11EW00710,R9068,,.,0,1,,78,e18,,Open,,88,0,1,07,
11EW00711,R9069,,.,0,1,,89,e19,,Preg,,102,0,1,07,
11EW00712,Z0757,,VH DYS=STUCK,0,1,,0,e20,,,,0,0,1,R3,
11EW00713,H7376,,.,0,3,,68,e20,,,,69,0,1,30,
11EW00714,H7377,,HAIRY,0,1,,79,e19,,Open,,85,0,1,30,
11EW00715,Z0760,,4TEATS,0,1,,96,e5,,Open,,87,0,6,97,
11EW00716,H7379,,PINK.HAIRY,0,1,,92,e20,,Open,,95,0,1,30,
11EW00717,R9076,,4TEATS,0,1,,76,e19,,Open,,78,0,1,07,
11EW00718,R9080,,SCOURS,0,1,,82,e17,,Open,,91,0,1,07,
11EW00719,H7386,,4T.NICE,0,1,,98,e8,,Preg,,114,0,1,30,
11EW00720,H7387,,.,0,1,,86,e9,,Open,,94,0,1,30,
11EW00721,R9086,,PINK.FRECKNOS,0,3,,76,e20,,Preg,,90,0,2,07,
11EW00722,R9089,,.,0,3,,79,e12,,Open,,88,0,2,07,
11EW00723,R9093,,BRITCHY,0,3,,101,e18,,Preg,,106,0,1,07,
11EW00724,Z0779,,.,0,1,,74,V1,,Open,,79,0,1,00,
11EW00725,R9098,,.,0,1,,76,e17,,,,0,0,1,07,
11EW00726,R9099,,.,0,1,,91,e11,,Open,,96,0,1,07,
11EW00727,Z0782,,VH.SCOURS,0,1,,81,e17,,Open,,89,0,1,R3,
11EW00728,R9108,,SCOURS,0,1,,90,e17,,Preg,,92,0,1,07,
11EW00729,R9109,,.,0,1,,85,e20,,Preg,,82,0,1,07,
11EW00730,R9111,,.,0,1,,83,e19,,,,0,0,1,07,
11EW00731,R9114,,HAIRY,0,3,,63,e17,,Open,,76,0,1,07,
11EW00732,H7399,,SCOURS,0,3,,73,e10,,Open,,80,0,1,30,
11EW00733,R9120,,HAIRY.STILL.R,0,3,,89,e18,,Open,,99,0,1,07,
11EW00734,L0548,,SCOURS,0,1,,108,e15,,Open,,113,0,5,PC,
11EW00735,R9122,,NICE LAMB,0,1,,83,e11,,Open,,80,0,1,07,
11EW00736,L0549,,E2E.VRYLTSMUT,0,1,,93,e14,,Preg,,98,0,5,PC,
11EW00737,L0550,,NICE LAMB SCO,0,3,,92,e15,,Open,,105,0,5,PC,
11EW00738,H7405,,SCOURS,0,1,,73,e8,,Preg,,79,0,1,30,
11EW00739,R9130,,.,0,1,,84,e11,,Open,,81,0,1,07,
11EW00740,Z0846,,4T.PINK.VRYHA,0,1,,58,V1,,Open,,61,0,1,00,
11EW00741,Z0851,,4TEATS,0,1,,94,e6,,Open,,90,0,1,CM,
